Site,Adult.Seedling,Elevation.code,Species,Individual.code,Lat.DD,Long.DD,Collection.date,Collection.day,Elevation,Soil.temp.1,Soil.temp.2,Soil.temp.3,Soil.temp.mean,Soil.temp.SD,Soil.mois.1,Soil.mois.2,Soil.mois.3,Soil.mois.mean,Soil.mois.SD,No.leaves,No.cot,Height.cm,Height.mm,Width.mm,Stem.volume.mm3,Stem.volume.cm3,Stem.thick.per.height,L.time,L.temp,L.light,QPSII,D.time,D.temp,D.light,D.FvFm,Canopy.open.per,LAI.4.ring,SPAD.1,SPAD.2,SPAD.3,SPAD.mean,SPAD.SD,Leaf.thick.1.mm,Leaf.thick.2.mm,Leaf.thick.3.mm,Leaf.thick.mean.mm,Leaf.thick.SD,Leaf.mass.fresh.g,Leaf.mass.FAA.g,Leaf.mass.dry.g,Leaf.area,Comp.Y.N.,Comp.seed.same.sp,Comp.seed.diff.sp,Comp.seed.total,Comp.adult.total,Comp.adult.metric,Comp.adult.log.metric,Height.leaf.ratio
TU8,Seedling,Bottom,CR,288,-13.07094444,-71.55597222,03/08/2015,12,1860,19.1,18.5,19.1,18.9,0.34641,16.5,14.5,26,19,6.144102864,11,1,23,230,1.669,503.1881335,0.503188134,0.072565217,15:19:00,20.5,3,0.70255102,15:42:00,21.7,0,0.759472817,7.59,2.97,33.1,34.2,34.5,33.93333333,0.73711148,0.089,0.091,0.104,0.094666667,0.008144528,0.098,0.076,NA,34.787,N,NA,NA,NA,NA,NA,NA,0.47826087
TU8,Seedling,Bottom,SP,228,-13.07052778,-71.55616667,01/08/2015,10,1860,16.2,16.6,17.1,16.63333333,0.450925,35.7,15.3,18.6,23.2,10.95034246,14,0,47,470,6.167,14038.98261,14.03898261,0.131212766,11:16:00,18.2,14,0.776785714,12:25:00,18.7,0,0.754487551,6.22,3.59,31,32.6,32.9,32.16666667,1.021436896,0.281,0.262,0.274,0.272333333,0.009609024,0.497,0.59,0.126,9.204,Y,1,36,37,4,17.49150782,1.242827248,0.29787234
TU8,Seedling,Bottom,SP,227,-13.07047222,-71.55577778,01/08/2015,10,1861,16.9,17.3,17.7,17.3,0.4,5.9,2.4,11.8,6.7,4.750789408,5,0,31,310,2.509,1532.684967,1.532684967,0.080935484,11:02:00,19.1,17,0.783818493,12:30:00,18.8,0,0.784873188,4.03,4.06,27.5,31.1,30.5,29.7,1.928730152,0.181,0.195,0.182,0.186,0.00781025,0.169,0.159,0.041,46.281,Y,0,56,56,4,17.88260668,1.252430824,0.161290323
TU8,Seedling,Bottom,SP,224,-13.0705,-71.55577778,01/08/2015,10,1862,16.4,17.1,17.1,16.86666667,0.404145,5.2,10.8,10.4,8.8,3.12409987,13,0,59,590,5.789,15529.19674,15.52919674,0.098118644,10:31:00,19.6,23,0.770408163,12:31:00,18.8,0,0.771832408,6.36,3.1,33.9,33.9,33.9,33.9,0,0.243,0.231,0.23,0.234666667,0.007234178,0.569,0.52,0.128,27.981,N,NA,NA,NA,NA,NA,NA,0.220338983
TU8,Seedling,Bottom,SP,225,-13.0705,-71.55577778,01/08/2015,10,1862,16.9,17.3,17.3,17.16666667,0.23094,8,6,16.7,10.23333333,5.688878038,14,0,41,410,4.591,6787.163693,6.787163693,0.11197561,10:33:00,19.8,20,0.677525968,12:32:00,18.6,0,0.74616172,5.4,3.57,32,32.6,33.1,32.56666667,0.550757055,0.224,0.204,0.199,0.209,0.013228757,0.314,0.284,0.068,10.921,Y,0,44,44,8,39.31244902,1.5945301,0.341463415
TU8,Seedling,Bottom,SP,226,-13.0705,-71.55577778,01/08/2015,10,1862,17.3,19.6,19.2,18.7,1.228821,9,10.4,4.3,7.9,3.195309062,5,0,5,50,1.708,114.5606894,0.114560689,0.3416,10:34:00,19.9,17,0.694380734,12:33:00,18.3,0,0.779405237,6.59,3.49,29.1,28.5,28.4,28.66666667,0.37859389,0.225,0.245,0.237,0.235666667,0.010066446,0.115,0.106,0.028,24.706,Y,0,19,19,5,45.775812,1.660636057,1
TU8,Seedling,Middle,AV,265,-13.07,-71.55580556,02/08/2015,11,1865,17.5,18.3,18.8,18.2,0.655744,12.4,15.3,11.5,13.06666667,1.985782801,7,0,43,430,2.034,1397.205331,1.397205331,0.047302326,17:08:00,19.4,0,0.669964029,18:00:00,20.9,0,0.887308534,7.82,2.98,42.2,48.7,44,44.96666667,3.356088994,0.397,0.371,0.388,0.385333333,0.013203535,0.667,0.717,0.166,46.559,N,NA,NA,NA,NA,NA,NA,0.162790698
TU8,Seedling,Middle,AV,266,-13.07,-71.55580556,02/08/2015,11,1865,18.6,18.1,18.1,18.26666667,0.288675,8.6,10.4,17.5,12.16666667,4.705670338,5,0,30,300,1.692,674.5464383,0.674546438,0.0564,17:09:00,19.4,0,0.557683326,17:58:00,20.2,0,0.840513291,7.82,2.98,29.1,32.4,35.7,32.4,3.3,0.281,0.293,0.295,0.289666667,0.007571878,0.191,NA,0.027,8.364,N,NA,NA,NA,NA,NA,NA,0.166666667
TU8,Seedling,Middle,AV,267,-13.07,-71.55580556,02/08/2015,11,1865,18.3,18.5,18.1,18.3,0.2,16.6,11.5,23.1,17.06666667,5.81406341,19,0,23,230,2.619,1239.049664,1.239049664,0.113869565,17:09:00,19.7,1,0.850684932,17:55:00,20,0,0.789800995,8.69,2.92,32.3,32.7,32.3,32.43333333,0.230940108,0.198,0.184,0.196,0.192666667,0.007571878,0.127,0.11,0.054,17.346,N,NA,NA,NA,NA,NA,NA,0.826086957
TU8,Seedling,Middle,AV,254,-13.07052778,-71.55594444,02/08/2015,11,1866,18.2,18.1,18,18.1,0.1,23.7,13.3,9.1,15.36666667,7.516204716,6,0,14,140,1.254,172.907165,0.172907165,0.089571429,12:25:00,22.6,110,0.494897959,14:51:00,21.3,0,0.697723663,5.79,3.23,30.3,32.8,31.1,31.4,1.276714533,0.426,0.537,0.51,0.491,0.057887823,0.213,NA,0.052,9.229,Y,0,28,28,3,9.295941979,0.968293404,0.428571429
